deal_id,company,industry,sales_rep,lead_source,deal_stage,deal_value,probability,created_date,expected_close_date,actual_close_date,status
DEAL-0038,Company 38,Finance,Ananya,Referral,Negotiation,2971944,0.75,2025-04-22,2025-08-07,,Open
DEAL-0039,Company 39,Retail,Rahul,Partner,Qualification,1410828,0.25,2025-06-12,2025-12-04,,Open
DEAL-0040,Company 40,Healthcare,Rahul,Website,Negotiation,4724351,0.75,2025-10-04,2026-02-23,,Open
DEAL-0041,Company 41,Manufacturing,Ananya,Partner,Qualification,4351754,0.25,2026-04-05,2026-08-16,,Open
DEAL-0042,Company 42,Healthcare,Arjun,Referral,Qualification,1670197,0.25,2025-02-07,2025-03-01,,Open
DEAL-0043,Company 43,Technology,Vikram,Email Campaign,Negotiation,2987629,0.75,2025-10-04,2026-02-06,,Open
DEAL-0044,Company 44,Retail,Sneha,Partner,Closed Won,3822962,1.0,2026-05-31,2026-07-01,2026-07-01,Won
DEAL-0045,Company 45,Retail,Rahul,Cold Call,Closed Lost,1181565,0.0,2026-04-22,2026-08-13,2026-08-13,Lost
DEAL-0046,Company 46,Healthcare,Sneha,Website,Proposal,2937004,0.5,2025-10-07,2026-01-24,,Open
DEAL-0047,Company 47,Healthcare,Priya,Website,Qualification,4385868,0.25,2025-04-26,2025-10-18,,Open
DEAL-0048,Company 48,Finance,Ananya,Referral,Closed Lost,3130761,0.0,2026-07-20,2026-08-27,2026-08-27,Lost
DEAL-0049,Company 49,Technology,Rahul,LinkedIn,Closed Won,1633593,1.0,2025-06-04,2025-07-05,2025-07-05,Won
DEAL-0050,Company 50,Healthcare,Priya,Website,Proposal,548863,0.5,2025-09-03,2025-10-13,,Open
DEAL-0051,Company 51,Technology,Sneha,Cold Call,Prospecting,4908380,0.1,2026-02-12,2026-07-11,,Open
DEAL-0052,Company 52,Manufacturing,Sneha,LinkedIn,Negotiation,2749015,0.75,2025-01-20,2025-06-27,,Open
DEAL-0053,Company 53,Manufacturing,Arjun,Website,Qualification,1222622,0.25,2026-04-16,2026-07-05,,Open
DEAL-0054,Company 54,Technology,Sneha,Referral,Proposal,4529125,0.5,2026-07-29,2026-11-06,,Open
DEAL-0055,Company 55,Education,Sneha,Email Campaign,Qualification,511243,0.25,2025-02-23,2025-03-17,,Open
DEAL-0056,Company 56,Retail,Ananya,LinkedIn,Prospecting,1054646,0.1,2025-01-05,2025-05-08,,Open
DEAL-0057,Company 57,Healthcare,Rahul,LinkedIn,Proposal,3429569,0.5,2025-09-26,2026-03-17,,Open
DEAL-0058,Company 58,Manufacturing,Rahul,Email Campaign,Qualification,1473286,0.25,2025-02-27,2025-07-08,,Open
DEAL-0059,Company 59,Manufacturing,Ananya,Website,Prospecting,4994505,0.1,2025-02-27,2025-04-16,,Open
DEAL-0060,Company 60,Education,Vikram,Partner,Qualification,4431932,0.25,2026-05-03,2026-06-02,,Open
DEAL-0061,Company 61,Healthcare,Vikram,Partner,Qualification,3662610,0.25,2025-09-04,2026-02-09,,Open
DEAL-0062,Company 62,Technology,Ananya,Partner,Prospecting,3650333,0.1,2025-10-12,2025-12-12,,Open
DEAL-0063,Company 63,Retail,Rahul,Partner,Closed Won,814121,1.0,2026-03-29,2026-07-06,2026-07-06,Won
DEAL-0064,Company 64,Retail,Priya,Email Campaign,Prospecting,338790,0.1,2025-12-23,2026-03-16,,Open
DEAL-0065,Company 65,Technology,Vikram,Cold Call,Closed Lost,3743305,0.0,2025-08-11,2025-11-29,2025-11-29,Lost
DEAL-0066,Company 66,Technology,Sneha,LinkedIn,Prospecting,2699103,0.1,2026-05-31,2026-06-16,,Open
DEAL-0067,Company 67,Retail,Arjun,Website,Proposal,2873100,0.5,2026-01-15,2026-05-10,,Open
DEAL-0068,Company 68,Education,Vikram,Email Campaign,Closed Lost,4749303,0.0,2026-02-21,2026-04-20,2026-04-20,Lost
DEAL-0069,Company 69,Technology,Priya,Cold Call,Prospecting,2814673,0.1,2025-10-29,2025-12-17,,Open
DEAL-0070,Company 70,Education,Priya,Cold Call,Qualification,4039618,0.25,2026-02-22,2026-05-05,,Open
DEAL-0071,Company 71,Education,Rahul,Email Campaign,Prospecting,2278636,0.1,2025-03-16,2025-04-20,,Open
DEAL-0072,Company 72,Retail,Priya,Website,Proposal,2690328,0.5,2026-01-29,2026-05-22,,Open
DEAL-0073,Company 73,Retail,Rahul,Cold Call,Closed Won,4172263,1.0,2025-04-06,2025-05-27,2025-05-27,Won
DEAL-0074,Company 74,Technology,Rahul,Partner,Qualification,2784296,0.25,2025-10-06,2025-11-19,,Open
DEAL-0075,Company 75,Healthcare,Arjun,Website,Qualification,1276607,0.25,2026-08-19,2027-01-21,,Open
DEAL-0076,Company 76,Retail,Ananya,Email Campaign,Closed Won,4710456,1.0,2026-01-31,2026-02-23,2026-02-23,Won
DEAL-0077,Company 77,Healthcare,Sneha,Website,Prospecting,4249790,0.1,2026-05-21,2026-08-12,,Open
DEAL-0078,Company 78,Technology,Vikram,Cold Call,Closed Lost,1859891,0.0,2026-04-14,2026-09-19,2026-09-19,Lost
DEAL-0079,Company 79,Education,Arjun,Cold Call,Closed Lost,3993334,0.0,2025-02-11,2025-06-27,2025-06-27,Lost
DEAL-0080,Company 80,Technology,Priya,Referral,Prospecting,3285658,0.1,2025-08-23,2025-11-21,,Open
DEAL-0081,Company 81,Finance,Rahul,Referral,Prospecting,2584629,0.1,2026-05-07,2026-10-09,,Open
DEAL-0082,Company 82,Education,Rahul,Partner,Qualification,3715060,0.25,2025-07-13,2025-12-10,,Open
DEAL-0083,Company 83,Retail,Sneha,Partner,Closed Lost,1583584,0.0,2026-05-15,2026-07-13,2026-07-13,Lost
DEAL-0084,Company 84,Finance,Priya,LinkedIn,Proposal,4492987,0.5,2025-09-09,2025-12-23,,Open
DEAL-0085,Company 85,Finance,Sneha,Partner,Proposal,3735501,0.5,2025-02-08,2025-07-13,,Open
DEAL-0086,Company 86,Technology,Rahul,LinkedIn,Prospecting,3226083,0.1,2025-02-27,2025-05-13,,Open
DEAL-0087,Company 87,Technology,Ananya,Cold Call,Qualification,4999499,0.25,2025-12-14,2026-02-22,,Open
DEAL-0088,Company 88,Education,Ananya,Cold Call,Closed Lost,1921403,0.0,2025-05-14,2025-07-28,2025-07-28,Lost
DEAL-0089,Company 89,Retail,Rahul,Referral,Prospecting,4976203,0.1,2025-07-22,2025-12-30,,Open
DEAL-0090,Company 90,Technology,Vikram,Partner,Qualification,2164792,0.25,2025-02-16,2025-07-23,,Open
DEAL-0091,Company 91,Finance,Ananya,Email Campaign,Negotiation,3345887,0.75,2025-09-16,2025-10-12,,Open
DEAL-0092,Company 92,Retail,Sneha,Referral,Qualification,4310507,0.25,2026-02-12,2026-06-28,,Open
DEAL-0093,Company 93,Retail,Arjun,Partner,Prospecting,1394027,0.1,2025-11-12,2026-01-06,,Open
DEAL-0094,Company 94,Education,Ananya,LinkedIn,Qualification,2054168,0.25,2025-05-25,2025-11-12,,Open
DEAL-0095,Company 95,Technology,Priya,Referral,Closed Lost,4682965,0.0,2025-09-10,2025-11-10,2025-11-10,Lost
DEAL-0096,Company 96,Technology,Ananya,Website,Prospecting,3514442,0.1,2025-08-30,2026-01-10,,Open
DEAL-0097,Company 97,Education,Priya,Website,Closed Lost,4121647,0.0,2025-05-26,2025-06-20,2025-06-20,Lost
DEAL-0098,Company 98,Technology,Vikram,Partner,Proposal,4395760,0.5,2026-04-06,2026-07-28,,Open
DEAL-0099,Company 99,Manufacturing,Arjun,Cold Call,Proposal,1772320,0.5,2026-04-21,2026-09-15,,Open
DEAL-0100,Company 100,Manufacturing,Rahul,Partner,Qualification,213273,0.25,2025-01-23,2025-05-02,,Open
DEAL-0101,Company 101,Manufacturing,Rahul,Website,Qualification,4027266,0.25,2025-01-01,2025-01-19,,Open
DEAL-0102,Company 102,Finance,Priya,Referral,Prospecting,4090479,0.1,2026-05-03,2026-08-20,,Open
DEAL-0103,Company 103,Retail,Rahul,Partner,Closed Won,3632069,1.0,2026-03-14,2026-05-17,2026-05-17,Won
DEAL-0104,Company 104,Technology,Vikram,Cold Call,Prospecting,1729748,0.1,2025-08-24,2025-11-03,,Open
DEAL-0105,Company 105,Finance,Priya,Referral,Qualification,1584026,0.25,2026-08-01,2026-09-22,,Open
DEAL-0106,Company 106,Retail,Ananya,Referral,Proposal,2623619,0.5,2025-12-01,2026-03-04,,Open
DEAL-0107,Company 107,Finance,Rahul,Referral,Closed Lost,1665952,0.0,2026-07-17,2026-12-10,2026-12-10,Lost
DEAL-0108,Company 108,Education,Priya,Cold Call,Prospecting,700199,0.1,2026-05-23,2026-06-12,,Open
DEAL-0109,Company 109,Technology,Arjun,Partner,Proposal,2576954,0.5,2025-05-06,2025-09-12,,Open
DEAL-0110,Company 110,Healthcare,Arjun,LinkedIn,Prospecting,1681107,0.1,2026-06-04,2026-07-13,,Open
DEAL-0111,Company 111,Healthcare,Arjun,Cold Call,Prospecting,2000367,0.1,2025-04-03,2025-08-17,,Open
DEAL-0112,Company 112,Education,Rahul,Email Campaign,Prospecting,2432357,0.1,2025-01-05,2025-01-20,,Open
DEAL-0113,Company 113,Healthcare,Rahul,Referral,Prospecting,4296049,0.1,2025-12-12,2026-02-09,,Open
DEAL-0114,Company 114,Manufacturing,Arjun,Cold Call,Negotiation,2956158,0.75,2025-09-06,2025-11-15,,Open
DEAL-0115,Company 115,Healthcare,Vikram,Email Campaign,Closed Won,4832883,1.0,2025-12-03,2026-04-09,2026-04-09,Won
DEAL-0116,Company 116,Manufacturing,Priya,Cold Call,Proposal,967559,0.5,2025-10-30,2025-12-11,,Open
DEAL-0117,Company 117,Manufacturing,Arjun,Email Campaign,Prospecting,2128007,0.1,2026-06-10,2026-06-27,,Open
DEAL-0118,Company 118,Technology,Vikram,Email Campaign,Qualification,680265,0.25,2025-10-01,2026-02-07,,Open
DEAL-0119,Company 119,Retail,Rahul,Website,Qualification,3770464,0.25,2025-02-08,2025-06-28,,Open
DEAL-0120,Company 120,Retail,Ananya,Referral,Negotiation,517010,0.75,2026-06-09,2026-11-16,,Open
DEAL-0121,Company 121,Manufacturing,Sneha,Referral,Prospecting,73275,0.1,2026-01-04,2026-04-29,,Open
DEAL-0122,Company 122,Education,Ananya,Cold Call,Qualification,2050609,0.25,2025-11-16,2026-01-28,,Open
DEAL-0123,Company 123,Manufacturing,Ananya,Email Campaign,Prospecting,3909744,0.1,2026-01-12,2026-02-16,,Open
DEAL-0124,Company 124,Technology,Arjun,LinkedIn,Prospecting,4431514,0.1,2025-12-16,2026-04-03,,Open
DEAL-0125,Company 125,Manufacturing,Priya,Email Campaign,Negotiation,1083255,0.75,2026-06-27,2026-12-10,,Open
DEAL-0126,Company 126,Technology,Ananya,Partner,Prospecting,1221459,0.1,2025-03-16,2025-07-26,,Open
DEAL-0127,Company 127,Healthcare,Vikram,Email Campaign,Proposal,575134,0.5,2026-07-28,2026-09-06,,Open
DEAL-0128,Company 128,Technology,Sneha,Website,Proposal,114323,0.5,2025-11-22,2025-12-26,,Open
DEAL-0129,Company 129,Manufacturing,Arjun,Email Campaign,Qualification,914909,0.25,2025-03-31,2025-05-21,,Open
DEAL-0130,Company 130,Education,Priya,Email Campaign,Qualification,4526576,0.25,2025-09-16,2025-10-10,,Open
DEAL-0131,Company 131,Education,Rahul,Website,Closed Won,4249591,1.0,2025-01-13,2025-04-02,2025-04-02,Won
DEAL-0132,Company 132,Education,Arjun,Website,Closed Won,4852116,1.0,2026-07-04,2026-10-04,2026-10-04,Won
DEAL-0133,Company 133,Manufacturing,Sneha,Cold Call,Prospecting,1434418,0.1,2026-08-11,2026-10-04,,Open
DEAL-0134,Company 134,Education,Vikram,Cold Call,Closed Won,2006109,1.0,2025-08-17,2025-10-05,2025-10-05,Won
DEAL-0135,Company 135,Technology,Vikram,Referral,Proposal,4113309,0.5,2026-01-14,2026-06-09,,Open
DEAL-0136,Company 136,Manufacturing,Arjun,Cold Call,Proposal,879735,0.5,2025-03-30,2025-07-26,,Open
DEAL-0137,Company 137,Technology,Rahul,Website,Negotiation,3136176,0.75,2026-02-26,2026-08-02,,Open
DEAL-0138,Company 138,Healthcare,Arjun,Partner,Qualification,3731262,0.25,2025-08-13,2025-10-19,,Open
DEAL-0139,Company 139,Retail,Vikram,Website,Negotiation,3292374,0.75,2026-08-02,2026-09-27,,Open
DEAL-0140,Company 140,Technology,Rahul,Cold Call,Closed Won,3852010,1.0,2026-04-23,2026-06-14,2026-06-14,Won
DEAL-0141,Company 141,Finance,Priya,Cold Call,Prospecting,2411632,0.1,2026-02-15,2026-05-26,,Open
DEAL-0142,Company 142,Retail,Vikram,Email Campaign,Proposal,4107893,0.5,2025-04-28,2025-06-28,,Open
DEAL-0143,Company 143,Retail,Sneha,Cold Call,Proposal,1855468,0.5,2025-01-15,2025-07-05,,Open
DEAL-0144,Company 144,Retail,Priya,LinkedIn,Negotiation,2130154,0.75,2025-05-10,2025-11-04,,Open
DEAL-0145,Company 145,Manufacturing,Ananya,Referral,Prospecting,2742755,0.1,2025-10-10,2026-01-06,,Open
DEAL-0146,Company 146,Manufacturing,Priya,Website,Closed Lost,4377819,0.0,2025-10-29,2026-02-24,2026-02-24,Lost
DEAL-0147,Company 147,Education,Vikram,Referral,Proposal,2842427,0.5,2026-04-05,2026-06-26,,Open
DEAL-0148,Company 148,Manufacturing,Rahul,Partner,Proposal,2464472,0.5,2026-01-13,2026-02-25,,Open
DEAL-0149,Company 149,Manufacturing,Rahul,Website,Prospecting,2052324,0.1,2026-02-11,2026-08-08,,Open
DEAL-0150,Company 150,Technology,Vikram,Website,Proposal,3628226,0.5,2026-07-21,2026-12-31,,Open
DEAL-0151,Company 151,Technology,Arjun,Email Campaign,Closed Won,561411,1.0,2025-07-21,2026-01-05,2026-01-05,Won
DEAL-0152,Company 152,Finance,Arjun,Referral,Closed Lost,1067433,0.0,2026-06-21,2026-11-12,2026-11-12,Lost
DEAL-0153,Company 153,Healthcare,Arjun,Partner,Proposal,4542816,0.5,2025-12-13,2026-04-14,,Open
DEAL-0154,Company 154,Technology,Rahul,Cold Call,Prospecting,1428246,0.1,2025-01-25,2025-05-07,,Open
DEAL-0155,Company 155,Finance,Vikram,Website,Negotiation,1095482,0.75,2025-03-04,2025-08-21,,Open
DEAL-0156,Company 156,Manufacturing,Sneha,Cold Call,Prospecting,69816,0.1,2025-03-25,2025-08-04,,Open
DEAL-0157,Company 157,Manufacturing,Arjun,LinkedIn,Qualification,1088896,0.25,2025-12-26,2026-05-30,,Open
DEAL-0158,Company 158,Education,Vikram,Partner,Proposal,314223,0.5,2025-11-14,2026-01-16,,Open
DEAL-0159,Company 159,Manufacturing,Arjun,Referral,Proposal,1716471,0.5,2025-05-24,2025-06-08,,Open
DEAL-0160,Company 160,Retail,Rahul,Cold Call,Proposal,2709440,0.5,2025-07-13,2025-09-28,,Open
DEAL-0161,Company 161,Finance,Arjun,Partner,Closed Won,3498678,1.0,2025-02-24,2025-03-20,2025-03-20,Won
DEAL-0162,Company 162,Retail,Priya,Cold Call,Closed Won,2330827,1.0,2025-06-11,2025-08-19,2025-08-19,Won
DEAL-0163,Company 163,Manufacturing,Rahul,Cold Call,Qualification,4093064,0.25,2025-01-08,2025-04-04,,Open
DEAL-0164,Company 164,Finance,Arjun,Partner,Negotiation,3235714,0.75,2026-08-02,2026-08-24,,Open
DEAL-0165,Company 165,Retail,Sneha,Cold Call,Closed Won,1028039,1.0,2025-10-15,2026-03-22,2026-03-22,Won
DEAL-0166,Company 166,Finance,Rahul,Cold Call,Qualification,661213,0.25,2025-07-01,2025-07-22,,Open
DEAL-0167,Company 167,Finance,Rahul,Cold Call,Negotiation,4389235,0.75,2025-05-27,2025-08-31,,Open
DEAL-0168,Company 168,Retail,Sneha,Cold Call,Qualification,3866446,0.25,2026-06-07,2026-10-18,,Open
DEAL-0169,Company 169,Retail,Priya,Partner,Closed Won,2539569,1.0,2025-09-13,2026-01-04,2026-01-04,Won
DEAL-0170,Company 170,Healthcare,Ananya,Website,Closed Won,4158880,1.0,2025-12-30,2026-05-13,2026-05-13,Won
DEAL-0171,Company 171,Finance,Vikram,Website,Qualification,3223584,0.25,2025-04-25,2025-06-18,,Open
DEAL-0172,Company 172,Finance,Priya,Cold Call,Negotiation,2988613,0.75,2025-12-25,2026-01-12,,Open
DEAL-0173,Company 173,Finance,Vikram,Referral,Negotiation,3584550,0.75,2025-04-19,2025-07-12,,Open
DEAL-0174,Company 174,Education,Rahul,Partner,Qualification,238456,0.25,2025-12-22,2026-01-22,,Open
DEAL-0175,Company 175,Technology,Ananya,LinkedIn,Prospecting,4817348,0.1,2026-01-13,2026-02-23,,Open
DEAL-0176,Company 176,Finance,Vikram,Website,Negotiation,3188145,0.75,2025-06-17,2025-08-23,,Open
DEAL-0177,Company 177,Healthcare,Rahul,LinkedIn,Prospecting,741757,0.1,2026-04-21,2026-06-28,,Open
DEAL-0178,Company 178,Retail,Rahul,LinkedIn,Closed Won,2728932,1.0,2025-10-19,2025-11-13,2025-11-13,Won
DEAL-0179,Company 179,Manufacturing,Ananya,Cold Call,Proposal,428165,0.5,2025-08-15,2025-12-18,,Open
DEAL-0180,Company 180,Healthcare,Arjun,Email Campaign,Qualification,465008,0.25,2025-11-08,2026-04-19,,Open
DEAL-0181,Company 181,Healthcare,Priya,Website,Proposal,3076768,0.5,2026-05-06,2026-09-06,,Open
DEAL-0182,Company 182,Technology,Rahul,Website,Qualification,4901188,0.25,2025-06-03,2025-07-27,,Open
DEAL-0183,Company 183,Healthcare,Arjun,Referral,Proposal,3925754,0.5,2025-03-02,2025-04-10,,Open
DEAL-0184,Company 184,Finance,Sneha,LinkedIn,Negotiation,1708987,0.75,2025-08-17,2025-12-11,,Open
DEAL-0185,Company 185,Finance,Rahul,Website,Closed Lost,3441418,0.0,2025-02-13,2025-03-16,2025-03-16,Lost
DEAL-0186,Company 186,Education,Rahul,Cold Call,Closed Lost,3852429,0.0,2025-01-12,2025-04-19,2025-04-19,Lost
DEAL-0187,Company 187,Finance,Rahul,Email Campaign,Closed Won,2252575,1.0,2026-01-09,2026-02-17,2026-02-17,Won
DEAL-0188,Company 188,Finance,Rahul,Referral,Closed Lost,3548472,0.0,2026-07-25,2026-09-24,2026-09-24,Lost
DEAL-0189,Company 189,Technology,Arjun,Referral,Prospecting,1574102,0.1,2025-03-27,2025-08-05,,Open
DEAL-0190,Company 190,Healthcare,Priya,Website,Closed Won,4018222,1.0,2026-04-22,2026-09-29,2026-09-29,Won
DEAL-0191,Company 191,Retail,Vikram,Referral,Qualification,2484206,0.25,2026-06-10,2026-10-10,,Open
DEAL-0192,Company 192,Technology,Sneha,Cold Call,Proposal,4243060,0.5,2025-05-11,2025-09-10,,Open
DEAL-0193,Company 193,Manufacturing,Priya,LinkedIn,Proposal,3878433,0.5,2026-02-01,2026-06-03,,Open
DEAL-0194,Company 194,Education,Priya,LinkedIn,Prospecting,509297,0.1,2025-06-19,2025-07-16,,Open
DEAL-0195,Company 195,Education,Sneha,Website,Prospecting,4784963,0.1,2025-02-08,2025-04-25,,Open
DEAL-0196,Company 196,Finance,Ananya,Website,Qualification,2756871,0.25,2025-09-29,2026-02-11,,Open
DEAL-0197,Company 197,Education,Ananya,Partner,Negotiation,4494499,0.75,2025-12-25,2026-01-11,,Open
DEAL-0198,Company 198,Technology,Vikram,Partner,Qualification,3097569,0.25,2025-11-20,2026-05-06,,Open
DEAL-0199,Company 199,Retail,Sneha,LinkedIn,Qualification,447710,0.25,2026-08-08,2026-11-18,,Open
DEAL-0200,Company 200,Manufacturing,Arjun,Partner,Proposal,2900171,0.5,2025-03-02,2025-05-18,,Open
DEAL-0201,Company 201,Healthcare,Sneha,Cold Call,Negotiation,4423656,0.75,2025-08-14,2025-09-01,,Open
DEAL-0202,Company 202,Finance,Arjun,Referral,Negotiation,481413,0.75,2026-07-29,2026-11-30,,Open
DEAL-0203,Company 203,Manufacturing,Vikram,Cold Call,Closed Lost,3878464,0.0,2025-08-06,2025-12-18,2025-12-18,Lost
DEAL-0204,Company 204,Healthcare,Sneha,Referral,Qualification,1564542,0.25,2025-02-23,2025-03-18,,Open
DEAL-0205,Company 205,Manufacturing,Rahul,LinkedIn,Qualification,2058954,0.25,2026-07-27,2026-10-31,,Open
DEAL-0206,Company 206,Education,Rahul,Website,Qualification,2155058,0.25,2025-06-09,2025-10-21,,Open
DEAL-0207,Company 207,Technology,Arjun,LinkedIn,Closed Won,84701,1.0,2026-08-03,2026-08-28,2026-08-28,Won
DEAL-0208,Company 208,Finance,Rahul,Website,Prospecting,377304,0.1,2026-06-25,2026-09-23,,Open
DEAL-0209,Company 209,Manufacturing,Arjun,Cold Call,Prospecting,3647706,0.1,2025-09-18,2026-02-03,,Open
DEAL-0210,Company 210,Education,Vikram,Website,Closed Lost,4207893,0.0,2025-06-25,2025-08-06,2025-08-06,Lost
DEAL-0211,Company 211,Education,Arjun,Referral,Closed Won,4370295,1.0,2025-04-24,2025-07-09,2025-07-09,Won
DEAL-0212,Company 212,Healthcare,Vikram,Cold Call,Negotiation,706951,0.75,2025-11-19,2026-01-12,,Open
DEAL-0213,Company 213,Technology,Arjun,LinkedIn,Closed Won,2416610,1.0,2025-10-16,2026-01-30,2026-01-30,Won
DEAL-0214,Company 214,Healthcare,Ananya,Email Campaign,Negotiation,1805692,0.75,2025-12-29,2026-04-22,,Open
DEAL-0215,Company 215,Technology,Arjun,Referral,Closed Won,3390420,1.0,2025-01-07,2025-03-20,2025-03-20,Won
DEAL-0216,Company 216,Finance,Sneha,Referral,Qualification,4922554,0.25,2026-01-29,2026-03-23,,Open
DEAL-0217,Company 217,Manufacturing,Arjun,Website,Prospecting,3811675,0.1,2026-08-12,2026-09-08,,Open
DEAL-0218,Company 218,Retail,Vikram,LinkedIn,Prospecting,4148064,0.1,2025-08-21,2025-12-11,,Open
DEAL-0219,Company 219,Technology,Priya,Email Campaign,Closed Won,650530,1.0,2025-11-22,2026-02-18,2026-02-18,Won
DEAL-0220,Company 220,Retail,Sneha,Email Campaign,Closed Won,1714221,1.0,2026-07-26,2026-08-31,2026-08-31,Won
DEAL-0221,Company 221,Retail,Ananya,Website,Qualification,188563,0.25,2025-08-30,2025-09-30,,Open
DEAL-0222,Company 222,Manufacturing,Vikram,Email Campaign,Prospecting,2092999,0.1,2025-01-22,2025-03-27,,Open
DEAL-0223,Company 223,Education,Arjun,Website,Closed Won,2823939,1.0,2025-08-15,2025-09-05,2025-09-05,Won
DEAL-0224,Company 224,Finance,Priya,Partner,Closed Won,1880815,1.0,2025-03-20,2025-05-31,2025-05-31,Won
DEAL-0225,Company 225,Technology,Vikram,Cold Call,Proposal,4105555,0.5,2025-10-12,2026-03-16,,Open
DEAL-0226,Company 226,Manufacturing,Arjun,LinkedIn,Closed Won,335555,1.0,2025-03-16,2025-06-22,2025-06-22,Won
DEAL-0227,Company 227,Education,Arjun,Email Campaign,Prospecting,2915899,0.1,2026-01-17,2026-02-21,,Open
DEAL-0228,Company 228,Finance,Vikram,LinkedIn,Qualification,4907088,0.25,2026-03-29,2026-04-27,,Open
